rated,created_at,last_move_at,turns,victory_status,winner,white_id,white_rating,black_id,black_rating,opening_eco,opening_name,opening_ply,increment_base,increment_bonus,n_moves_played,first_move,last_move
0,1497980000000.0,1497980000000.0,5,3,0,7667,978,969,1500,152,359,3,10,0,5,11,459
0,1497900000000.0,1497900000000.0,7,3,2,5009,1500,7656,978,172,642,4,10,0,7,13,677
0,1497890000000.0,1497900000000.0,53,1,2,7667,978,5086,1500,61,191,2,10,0,53,11,2035
0,1497890000000.0,1497890000000.0,36,3,0,5009,1500,7656,978,19,247,2,10,0,36,9,691
1,1503220000000.0,1503230000000.0,8,3,2,9093,1521,3247,1162,4,1469,2,16,0,8,2,468
1,1503180000000.0,1503180000000.0,3,3,2,1486,1407,3247,1500,93,1219,3,6,10,3,13,459
1,1504260000000.0,1504260000000.0,28,3,2,5419,1492,9041,1458,177,1439,5,10,0,28,13,106
1,1504250000000.0,1504250000000.0,30,3,0,634,1414,9041,1442,192,794,8,10,0,30,13,1131
1,1504140000000.0,1504140000000.0,44,3,0,9122,1457,8171,1294,195,1150,5,10,0,44,13,1016
1,1504140000000.0,1504140000000.0,29,3,2,85,1525,9041,1466,192,797,6,10,0,29,13,473
1,1504230000000.0,1504230000000.0,37,3,0,3830,1207,6281,1579,152,352,3,8,10,37,13,1505
1,1503970000000.0,1503970000000.0,49,3,2,6234,1567,2114,1573,36,682,2,8,12,49,11,1801
1,1503970000000.0,1503970000000.0,32,3,0,6234,1578,4883,1605,36,433,2,8,12,32,11,1769
1,1503970000000.0,1503970000000.0,25,3,2,4160,1939,6281,1581,311,98,6,8,12,25,11,85
1,1503970000000.0,1503970000000.0,40,1,0,6693,1618,6281,1568,152,311,2,5,10,40,13,1018
1,1503960000000.0,1503960000000.0,39,3,2,3168,1755,6281,1574,4,1459,2,7,12,39,2,129
1,1503890000000.0,1503890000000.0,57,3,2,6234,1561,7260,1596,41,443,2,15,10,57,11,49
1,1503810000000.0,1503810000000.0,78,3,0,1105,1500,6281,1554,152,363,3,5,40,78,13,1648
1,1503790000000.0,1503790000000.0,61,3,2,6234,1544,8509,1461,239,977,3,15,5,61,11,502
1,1503710000000.0,1503710000000.0,44,3,0,6234,1563,2571,1335,239,977,3,20,5,44,11,1995
1,1503710000000.0,1503710000000.0,62,1,0,6234,1579,2877,1470,37,960,2,20,5,62,11,1695
1,1503700000000.0,1503700000000.0,87,1,2,1650,1617,6281,1590,41,443,2,20,5,87,11,1565
1,1503700000000.0,1503700000000.0,54,1,0,497,1207,6281,1588,154,325,7,20,5,54,13,1168
1,1503690000000.0,1503690000000.0,54,3,0,6234,1595,7361,1547,239,977,3,15,5,54,11,1323
1,1503690000000.0,1503690000000.0,37,3,2,6961,1855,6281,1599,153,343,5,15,5,37,13,659
1,1503690000000.0,1503690000000.0,50,3,2,6234,1589,3911,1547,36,433,2,15,5,50,11,1633
1,1503690000000.0,1503690000000.0,131,3,2,6234,1571,8170,1728,241,976,5,30,0,131,11,334
1,1503680000000.0,1503690000000.0,48,3,2,8228,1720,6281,1579,152,334,3,30,0,48,13,456
1,1503620000000.0,1503620000000.0,47,3,0,6234,1579,3939,2105,241,976,5,15,5,47,11,58
1,1503550000000.0,1503550000000.0,64,1,0,9406,1768,6281,1560,152,353,3,15,5,64,13,1271
1,1503540000000.0,1503540000000.0,61,3,2,6234,1552,3203,1436,239,977,3,15,5,61,11,1119
1,1503460000000.0,1503460000000.0,57,1,2,6234,1536,8624,1667,241,976,5,15,5,57,11,116
1,1503460000000.0,1503460000000.0,51,3,2,7525,1521,6281,1549,10,237,2,15,5,51,9,2031
1,1503450000000.0,1503450000000.0,58,1,0,417,1251,6281,1545,0,180,3,15,5,58,5,1198
1,1503450000000.0,1503450000000.0,71,3,2,6234,1537,636,1408,239,977,3,15,5,71,11,1404
1,1503440000000.0,1503440000000.0,114,3,2,6234,1522,5444,1512,36,960,1,15,5,114,11,329
1,1503430000000.0,1503430000000.0,39,3,2,2726,1602,6281,1532,170,392,11,15,5,39,13,260
1,1503430000000.0,1503430000000.0,20,3,0,6234,1543,2776,1593,241,976,5,15,5,20,11,652
1,1503430000000.0,1503430000000.0,48,3,0,6234,1556,4752,1539,239,977,3,30,0,48,11,321
1,1503370000000.0,1503370000000.0,34,1,0,3573,1409,6281,1548,152,352,3,20,10,34,13,1015
1,1503370000000.0,1503370000000.0,51,3,2,6234,1539,3690,1418,241,976,5,20,10,51,11,1406
1,1503360000000.0,1503370000000.0,69,3,2,2526,1603,6281,1550,152,363,3,20,10,69,13,1680
1,1503360000000.0,1503360000000.0,28,3,2,6234,1542,3138,1399,239,978,4,20,10,28,11,531
1,1503360000000.0,1503360000000.0,62,3,0,6234,1546,1961,1877,241,976,5,20,10,62,11,547
1,1503360000000.0,1503360000000.0,62,1,0,472,1134,6281,1535,43,945,4,20,10,62,11,1655
1,1503360000000.0,1503360000000.0,85,1,2,6234,1513,7049,1784,36,433,2,20,10,85,11,1454
1,1503350000000.0,1503350000000.0,38,3,2,6234,1501,7301,1445,241,976,5,20,10,38,11,991
0,1503970000000.0,1503970000000.0,14,3,2,4985,1500,3699,1500,201,495,8,45,0,14,13,88
1,1504200000000.0,1504200000000.0,113,0,1,883,1745,607,1714,245,943,4,15,0,113,11,376
1,1504190000000.0,1504190000000.0,62,3,2,883,1734,748,1748,245,943,4,15,0,62,11,1350
1,1503540000000.0,1503550000000.0,101,3,2,7322,1942,864,1739,162,357,6,10,0,101,13,1841
1,1503540000000.0,1503540000000.0,75,2,2,883,1724,8777,1855,196,1150,7,10,0,75,13,308
1,1503540000000.0,1503540000000.0,135,1,2,5150,1951,864,1729,154,318,11,10,0,135,13,1929
1,1503540000000.0,1503540000000.0,81,2,2,883,1726,6492,1388,192,783,5,10,0,81,13,307
1,1503540000000.0,1503540000000.0,46,3,0,883,1735,5864,1806,295,414,6,10,0,46,11,397
1,1503540000000.0,1503540000000.0,70,1,0,3596,1597,864,1728,152,352,3,10,0,70,13,759
1,1503540000000.0,1503540000000.0,39,3,2,4749,1743,864,1738,162,367,10,10,0,39,13,173
1,1503540000000.0,1503540000000.0,91,3,2,8531,1721,864,1750,264,922,7,10,0,91,11,1390
1,1503540000000.0,1503540000000.0,137,2,2,883,1746,3100,1487,258,868,5,10,0,137,11,1034
1,1503540000000.0,1503540000000.0,46,3,0,3981,1744,864,1735,154,323,9,10,0,46,13,1651
1,1503540000000.0,1503540000000.0,18,3,0,883,1749,9156,1631,273,912,9,10,0,18,11,19
1,1503540000000.0,1503540000000.0,28,3,0,883,1769,5909,1396,258,868,5,10,0,28,11,1662
1,1503680000000.0,1503680000000.0,40,3,0,1537,1795,3763,1760,42,1452,5,5,8,40,11,817
1,1503670000000.0,1503680000000.0,111,1,2,3402,1729,1557,1795,265,907,5,15,0,111,11,939
1,1503590000000.0,1503590000000.0,54,1,0,2127,1795,1557,1784,215,1054,6,10,0,54,13,792
1,1503590000000.0,1503590000000.0,33,3,2,1537,1770,4060,1872,241,992,3,10,0,33,11,1627
1,1503590000000.0,1503590000000.0,90,3,0,1537,1783,6969,1721,241,976,5,10,0,90,11,1170
1,1503590000000.0,1503590000000.0,90,3,0,817,1884,1557,1768,215,1055,7,10,0,90,13,914
1,1503590000000.0,1503590000000.0,40,1,0,6265,1756,1557,1756,175,77,5,10,0,40,13,2004
1,1503590000000.0,1503590000000.0,49,2,2,1537,1724,1485,1958,39,48,5,8,0,49,11,1807
1,1503580000000.0,1503580000000.0,50,3,0,1626,2036,1557,1706,8,586,6,10,0,50,2,1697
1,1503500000000.0,1503500000000.0,59,1,2,1537,1706,2102,925,241,976,5,10,0,59,11,1129
1,1504080000000.0,1504080000000.0,26,2,0,5766,1244,7436,1219,71,757,4,15,15,26,11,1060
1,1504080000000.0,1504080000000.0,23,1,2,7420,1215,5553,921,201,462,5,15,15,23,13,1231
1,1503960000000.0,1503960000000.0,118,1,0,2818,1350,7436,1201,74,1,5,15,15,118,13,1432
1,1503950000000.0,1503960000000.0,66,1,0,7420,1210,442,1280,98,1310,4,15,15,66,13,1316
1,1503910000000.0,1503910000000.0,120,0,1,8119,1139,7436,1212,201,297,8,15,15,120,13,386
1,1503840000000.0,1503840000000.0,36,1,0,7420,1220,4452,1341,208,516,11,15,15,36,13,1141
1,1503830000000.0,1503840000000.0,26,1,0,7420,1234,1862,1359,206,463,6,15,15,26,13,980
1,1503780000000.0,1503780000000.0,62,3,0,7420,1275,954,1236,208,516,11,15,15,62,13,1728
1,1503780000000.0,1503780000000.0,37,3,2,7279,1433,7436,1282,73,13,3,15,15,37,13,496
1,1503670000000.0,1503670000000.0,24,3,0,8568,1132,7436,1276,245,943,4,15,15,24,11,172
0,1503420000000.0,1503420000000.0,47,3,2,7420,1276,5294,1308,206,463,6,30,2,47,13,167
1,1503420000000.0,1503420000000.0,37,3,0,4751,1228,7436,1266,73,26,7,15,15,37,13,1674
1,1503420000000.0,1503420000000.0,24,3,0,7420,1273,6736,1409,84,134,5,15,15,24,13,215
1,1503410000000.0,1503410000000.0,9,3,2,5437,1338,7436,1277,239,962,3,15,15,9,11,757
1,1503160000000.0,1503160000000.0,47,1,2,7420,1263,5364,1336,123,1290,8,15,15,47,13,1371
1,1503160000000.0,1503160000000.0,85,1,2,7185,1316,7436,1273,19,247,2,15,15,85,9,1959
1,1503140000000.0,1503140000000.0,39,1,2,7420,1248,7660,1253,71,407,2,15,15,39,13,190
1,1503130000000.0,1503130000000.0,58,1,0,5200,1335,7436,1233,319,704,6,15,15,58,11,1550
1,1503130000000.0,1503130000000.0,95,1,2,7420,1223,172,1189,208,516,11,15,15,95,13,2008
1,1503130000000.0,1503130000000.0,2,3,0,6764,1443,7436,1204,73,0,2,15,15,2,13,557
1,1503090000000.0,1503090000000.0,97,1,2,2777,1227,7436,1216,245,943,4,15,15,97,11,1280
1,1503090000000.0,1503090000000.0,12,0,1,7420,1215,5122,1219,201,462,5,15,15,12,13,1179
1,1503090000000.0,1503090000000.0,30,3,2,2810,1227,7436,1227,201,297,8,15,15,30,13,2000
1,1503090000000.0,1503090000000.0,43,1,2,5612,1550,7436,1225,312,100,8,10,0,43,11,1231
1,1503080000000.0,1503080000000.0,11,3,2,3246,1325,7436,1234,73,0,2,15,15,11,13,1878
1,1503060000000.0,1503060000000.0,72,1,0,3244,1212,7436,1221,73,20,5,15,15,72,13,552
1,1503060000000.0,1503060000000.0,156,1,0,7420,1226,8826,1478,191,635,3,15,15,156,13,739
1,1503060000000.0,1503060000000.0,18,3,0,7420,1228,5385,1626,264,874,4,25,0,18,11,671
0,1503050000000.0,1503060000000.0,77,1,2,3265,1191,7436,1228,163,340,7,10,2,77,11,1541
1,1503050000000.0,1503050000000.0,32,3,0,6806,1422,7436,1210,73,25,5,30,0,32,13,631
1,1503050000000.0,1503050000000.0,35,3,2,2014,1186,7436,1223,179,1446,5,15,15,35,13,201
1,1503050000000.0,1503050000000.0,85,1,2,7420,1212,7637,1212,77,682,2,15,15,85,13,520
1,1503050000000.0,1503050000000.0,50,3,0,7420,1228,1727,1343,72,1145,6,15,15,50,13,1627
1,1504140000000.0,1504140000000.0,111,3,2,3939,1865,3952,1862,42,1452,5,10,10,111,2,258
1,1503950000000.0,1503950000000.0,65,2,2,3820,1852,7239,1852,99,1314,5,7,2,65,13,391
1,1503800000000.0,1503810000000.0,73,3,2,1821,1833,3952,1863,51,44,4,15,0,73,11,1854
1,1503690000000.0,1503690000000.0,125,3,2,3820,1851,7554,1918,96,1257,4,15,0,125,13,1844
1,1503630000000.0,1503630000000.0,76,3,0,3820,1861,6715,1844,206,463,6,15,0,76,13,940
1,1503620000000.0,1503630000000.0,65,2,2,3820,1853,8158,1774,216,1039,6,10,0,65,13,300
1,1503620000000.0,1503620000000.0,41,1,2,4266,1910,3952,1862,144,1308,11,10,0,41,13,995
1,1503620000000.0,1503620000000.0,59,3,2,3820,1851,7168,1890,152,352,3,10,0,59,13,1456
1,1503600000000.0,1503600000000.0,70,3,0,8459,1860,3952,1840,117,1224,5,15,5,70,13,1682
1,1503550000000.0,1503550000000.0,34,3,2,9412,1828,3952,1848,118,1212,5,25,25,34,13,675
1,1503460000000.0,1503460000000.0,69,2,2,3957,1855,3952,1858,307,27,1,8,0,69,3,494
1,1503450000000.0,1503450000000.0,63,3,2,3820,1847,4029,1895,221,1093,8,10,10,63,13,556
1,1503450000000.0,1503450000000.0,107,3,2,3909,1885,3952,1856,117,1194,4,10,10,107,13,302
1,1503440000000.0,1503440000000.0,58,3,2,3820,1847,1313,1802,36,960,1,30,0,58,11,342
0,1503440000000.0,1503440000000.0,34,3,0,3820,1847,3701,1856,82,154,6,20,5,34,13,1370
1,1503420000000.0,1503430000000.0,100,2,0,2159,1840,3952,1837,92,1202,3,15,0,100,13,1478
1,1503340000000.0,1503350000000.0,80,3,0,3820,1848,5488,1806,108,1251,4,5,5,80,13,1493
1,1503340000000.0,1503340000000.0,44,3,0,3820,1860,6615,1820,152,352,3,15,0,44,13,599
1,1503200000000.0,1503200000000.0,40,2,0,919,1854,3952,1849,41,776,3,10,0,40,11,676
1,1503120000000.0,1503120000000.0,105,2,2,2877,1895,3952,1859,117,1194,4,10,0,105,13,324
1,1503110000000.0,1503110000000.0,50,3,0,3820,1866,7384,1965,100,1315,6,15,0,50,13,909
0,1503090000000.0,1503090000000.0,144,2,1,3820,1866,8184,1843,117,1194,4,10,0,144,13,310
0,1503020000000.0,1503020000000.0,81,3,0,6008,1835,3952,1866,88,127,11,10,0,81,13,318
1,1502940000000.0,1502940000000.0,69,3,0,3820,1877,2505,1860,212,1052,6,15,0,69,13,1783
1,1502070000000.0,1502070000000.0,77,1,2,2483,1849,3952,1874,144,1297,11,7,8,77,13,876
1,1501980000000.0,1501980000000.0,158,1,0,3634,1835,3952,1865,311,98,6,6,6,158,11,1760
1,1501880000000.0,1501880000000.0,107,0,1,3820,1866,1832,1835,206,522,7,15,5,107,13,332
1,1501610000000.0,1501610000000.0,117,1,2,3820,1856,62,1829,227,1088,12,15,0,117,13,983
1,1501600000000.0,1501600000000.0,44,3,2,3820,1845,7352,1846,221,1093,8,10,0,44,13,1977
1,1501290000000.0,1501290000000.0,40,3,0,7504,1834,3952,1835,99,1324,4,15,0,40,13,835
1,1501200000000.0,1501200000000.0,59,3,2,7507,1846,3952,1845,81,111,2,15,5,59,13,719
0,1501200000000.0,1501200000000.0,110,3,0,3820,1845,6096,1917,245,943,4,10,0,110,11,1320
1,1501190000000.0,1501190000000.0,30,3,0,3820,1858,8117,1790,72,1141,4,15,0,30,13,673
1,1501190000000.0,1501190000000.0,54,3,0,5992,1871,3952,1847,99,1324,4,10,0,54,13,1072
1,1501120000000.0,1501130000000.0,69,3,0,3820,1846,8546,1869,192,783,5,10,0,69,13,308
1,1501090000000.0,1501090000000.0,178,1,0,7551,1843,3952,1836,92,1202,3,16,0,178,13,1454
1,1501040000000.0,1501040000000.0,136,3,0,1829,1800,3952,1826,90,1194,2,15,0,136,13,1053
0,1504200000000.0,1504200000000.0,124,1,0,8213,1283,8957,1267,99,1314,5,8,0,124,13,995
1,1504180000000.0,1504180000000.0,96,3,0,6572,1290,8148,1270,0,434,1,10,4,96,16,1767
1,1504180000000.0,1504180000000.0,53,2,2,6447,1331,8148,1281,239,963,4,12,0,53,11,85
1,1504080000000.0,1504080000000.0,39,1,2,6622,1304,8148,1292,0,1433,1,10,0,39,12,989
1,1504080000000.0,1504080000000.0,10,1,0,8213,1305,6662,1293,152,359,3,10,0,10,13,1168
1,1504080000000.0,1504080000000.0,51,1,2,4831,1308,8148,1317,173,166,8,10,0,51,13,1207
1,1503810000000.0,1503810000000.0,18,3,0,1560,1296,8148,1305,205,498,13,15,0,18,13,653
0,1503800000000.0,1503800000000.0,106,1,0,5281,968,8148,1305,201,297,8,30,0,106,13,1271
0,1503770000000.0,1503770000000.0,38,1,0,8213,1293,8765,1466,192,785,5,15,15,38,13,1021
1,1503760000000.0,1503760000000.0,59,1,2,9150,1500,8148,1299,219,1074,7,7,2,59,13,916
1,1503750000000.0,1503750000000.0,111,1,2,8213,1288,4053,1232,83,111,3,7,2,111,13,1479
1,1503750000000.0,1503750000000.0,28,3,0,8213,1289,3682,2108,226,1105,9,7,2,28,13,184
0,1503740000000.0,1503740000000.0,101,2,2,1186,1431,8148,1289,173,172,6,7,2,101,13,663
0,1503740000000.0,1503740000000.0,15,1,2,8056,1806,8148,1289,196,1150,7,7,2,15,13,954
0,1503740000000.0,1503740000000.0,42,3,2,8213,1289,9189,1311,192,785,5,7,2,42,13,330
0,1503740000000.0,1503740000000.0,118,3,0,1186,1431,8148,1289,36,291,3,7,2,118,12,1788
0,1503740000000.0,1503740000000.0,34,3,0,8213,1289,542,1484,201,405,6,7,2,34,13,169
0,1503740000000.0,1503740000000.0,60,3,0,8213,1289,735,1810,38,1258,5,7,2,60,13,160
0,1503740000000.0,1503740000000.0,66,3,0,8056,1806,8148,1289,195,1150,5,7,2,66,13,2026
0,1503680000000.0,1503680000000.0,21,2,2,8213,1289,7801,1500,192,785,5,5,8,21,13,1935
1,1503670000000.0,1503670000000.0,73,1,2,5737,1409,8148,1297,221,1092,8,15,1,73,13,992
1,1503660000000.0,1503670000000.0,159,1,2,8213,1280,5795,1485,206,463,6,15,1,159,13,786
0,1503600000000.0,1503600000000.0,74,3,2,8213,1280,3971,1211,72,1141,4,15,0,74,13,311
0,1503600000000.0,1503600000000.0,28,1,0,3847,1211,8148,1280,0,180,3,15,0,28,19,1189
1,1503580000000.0,1503580000000.0,112,1,0,8213,1281,5982,1765,192,786,6,10,0,112,13,1015
1,1503510000000.0,1503510000000.0,104,3,0,8213,1288,5795,1454,193,777,4,15,1,104,13,1703
1,1503510000000.0,1503510000000.0,40,1,0,5737,1560,8148,1270,246,936,5,15,1,40,11,1192
1,1503510000000.0,1503510000000.0,44,1,0,8213,1274,5795,1534,96,1260,4,15,1,44,13,1470
1,1503510000000.0,1503510000000.0,150,0,1,8213,1259,5795,1663,206,463,6,15,1,150,13,362
1,1503410000000.0,1503410000000.0,60,1,0,8590,1614,8148,1238,241,976,5,10,0,60,11,939
1,1503400000000.0,1503410000000.0,37,1,2,8213,1221,3746,1417,154,319,11,10,0,37,13,836
1,1503340000000.0,1503340000000.0,88,2,0,8213,1222,5157,1732,101,1327,7,10,0,88,13,2030
1,1503300000000.0,1503310000000.0,113,1,2,3418,1232,8148,1234,219,1074,7,10,0,113,13,798
1,1503100000000.0,1503110000000.0,55,1,2,8213,1240,4622,1219,193,1021,8,20,5,55,13,756
1,1502940000000.0,1502940000000.0,135,1,2,3471,1590,2147,1600,21,242,5,10,0,135,9,1292
1,1502240000000.0,1502240000000.0,137,0,1,7074,1568,2147,1617,201,462,5,10,0,137,13,368
1,1501980000000.0,1501980000000.0,97,2,2,2113,1500,6098,1358,197,293,6,10,0,97,13,746
0,1503450000000.0,1503450000000.0,33,3,0,8334,1384,7167,1325,78,809,2,10,2,33,13,860
0,1503440000000.0,1503440000000.0,29,3,0,8334,1384,4108,1265,6,1462,3,30,0,29,2,485
0,1503440000000.0,1503440000000.0,55,3,0,8334,1384,7377,1950,4,1471,2,2,10,55,2,2003
1,1503280000000.0,1503280000000.0,91,3,2,8334,1377,1021,1249,72,1141,4,20,10,91,13,372
1,1503280000000.0,1503280000000.0,53,3,2,4522,1375,8265,1389,171,662,4,9,0,53,13,679
1,1503260000000.0,1503260000000.0,49,1,2,8334,1378,942,1361,192,783,5,10,2,49,13,1162
1,1503260000000.0,1503260000000.0,48,1,0,2180,1261,8265,1371,78,652,4,10,2,48,13,1096
1,1503260000000.0,1503260000000.0,20,3,0,8334,1380,1340,1429,99,1324,4,10,9,20,13,638
1,1503250000000.0,1503250000000.0,87,1,2,8334,1369,2058,1368,193,1020,6,10,0,87,13,792
1,1503250000000.0,1503250000000.0,11,3,2,6589,1290,8265,1371,226,1097,9,10,0,11,13,1878
1,1503110000000.0,1503110000000.0,110,0,1,8334,1372,5573,1326,71,1404,2,15,3,110,13,950
1,1503110000000.0,1503110000000.0,24,3,2,8344,1361,8265,1383,0,1433,1,6,7,24,12,875
1,1503100000000.0,1503100000000.0,23,3,2,7178,1217,8265,1399,21,261,4,15,15,23,9,1821
1,1503020000000.0,1503020000000.0,81,1,2,8334,1387,6948,1447,211,1036,5,15,30,81,13,1396
0,1503020000000.0,1503020000000.0,34,3,0,761,1474,8265,1387,72,1125,2,20,0,34,13,694
1,1503010000000.0,1503010000000.0,103,1,2,8334,1377,8178,1351,192,784,4,15,2,103,2,1080
1,1503010000000.0,1503010000000.0,29,3,0,8334,1389,2077,1339,191,653,4,30,10,29,13,941
0,1502920000000.0,1502920000000.0,22,3,0,8334,1389,3155,1400,192,784,4,30,15,22,13,1131
0,1502920000000.0,1502920000000.0,38,3,2,5751,1849,8265,1389,195,1150,5,10,0,38,13,109
1,1502850000000.0,1502850000000.0,46,1,0,619,1395,8265,1378,201,494,9,8,0,46,13,1695
1,1502850000000.0,1502850000000.0,23,2,2,8334,1370,9279,1257,212,1052,6,5,5,23,13,306
1,1502840000000.0,1502840000000.0,31,3,2,8334,1360,8173,1332,71,756,5,10,3,31,13,1028
0,1502740000000.0,1502740000000.0,51,3,2,552,1311,8265,1360,172,642,4,10,0,51,13,252
0,1502740000000.0,1502740000000.0,87,1,2,4764,1714,8265,1360,215,1054,6,20,0,87,13,1412
1,1502730000000.0,1502730000000.0,31,1,2,8334,1354,6326,1217,201,462,5,45,30,31,13,472
1,1502720000000.0,1502720000000.0,38,3,0,7669,1245,8265,1346,258,868,5,15,15,38,11,1719
0,1502680000000.0,1502680000000.0,43,3,2,8334,1346,1027,1099,206,463,6,10,4,43,13,685
1,1502650000000.0,1502650000000.0,105,3,2,8334,1336,514,1287,7,587,4,9,2,105,2,328
0,1503010000000.0,1503010000000.0,87,2,2,2533,1580,4761,1555,10,238,2,10,0,87,9,1965
0,1503010000000.0,1503010000000.0,36,1,0,4688,1555,2588,1580,108,1284,6,10,0,36,13,457
1,1503010000000.0,1503010000000.0,38,3,0,5881,1649,2588,1547,154,315,6,6,6,38,13,242
1,1503010000000.0,1503010000000.0,110,3,0,8643,1426,2588,1527,152,352,3,8,0,110,13,1828
1,1502920000000.0,1502920000000.0,48,3,0,2533,1557,3125,1547,221,1092,8,15,0,48,13,573
0,1502910000000.0,1502920000000.0,95,1,2,2533,1557,5460,1607,319,705,5,5,8,95,11,1568
